dataset_size,linked_average,linked_minimum,linked_std,contiguous_average,contiguous_minimum,contiguous_std,speedup,execution_reduction
100000,0.004549439996480942,0.004281099885702133,0.00030343397025723294,0.004334519989788533,0.0034457999281585217,0.000952634177095513,1.049583346529426,4.724098061709857
250000,0.013192119915038348,0.01225689984858036,0.0009619280357658472,0.011289780028164387,0.009310100227594376,0.00367649008640232,1.1685010586679485,14.420274369287606
500000,0.02637994000688195,0.02428150037303567,0.0015599482538012945,0.021206039935350418,0.018589300103485584,0.0051600311228512255,1.243982378949813,19.61300924180182
1000000,0.05013493997976184,0.04767049988731742,0.0019894638375802364,0.041294199880212545,0.03806659998372197,0.004072676485891746,1.2140915703705308,17.63388986427044
